targets,predictions
<sos>그 케에 주풀 주풀 주풀 주풀 주풀 이렇게 되있는 그런 그런데? 약찍 실 실십에서나 양 구 있는 그런 그런 데과친,그반에  없림권림 힘림 구  더저 기있는 그런 그런데 람애동  동예에에서나 내 구었데  그런  그런는데 피럼.
<sos>그인고 이제 예서? 났스는 이제 찾요네 어 녁 비생하고 걔네 맨 좋 냐르니까 없십라고.,그잖고지  재서  당학는제  급와네 뭐 엔단 생하하고고 난네  번  짜맞수해 렇렇던라고
<sos>그친 발굉도 소막이 쫌영하는 거지. 거기 다 고몇막근 다 왜 그거 다 알치 편는 거를아.,나 그어연도  기었우분아아금  거지거기다  고  분었데 나게 그  좀걔줄는 거오아아.
<sos>그게 좀 막간연막 슷피이 없지 히아 있 님영이 되기는 한 거 같애.,그게 터 었한왜이 깐선이지 장장나아니   다삼이  용기는 한거 같같간.
<sos>나 같으면 힘이라고 안 할르고 거중 뭐라고 해야 되바? 거중 그냥 청류? 청류이라 름인 되나 거중.,나 같은  싶 졌기라재 와맞고  거  뭐라고근보아거기 그냥  개센개웠리라  내래더라거지?
<sos>한 록은 틀을 구 있지. 아마 들데 요리 당잡 가서 태 틀기로 수었를아 그때.,한응한데 없고구있있지  한 막  들데 마마리이  관놓가서  잡추기수무오아그때.
<sos>같이 슈싫 가쫌데로 예서 같이 슈싫고 그 정도는 되는 건데 이제 러 이제 러 스밀승 하면은 그건 안되고,같못 얘 가쫌근 재서 같지고   그겠과 으는  건데 이이제   아 제  기영 하는는  건나는데.
<sos>어가 맞엄솔이면 뭐 막힘도 포꼬되는 거지 뭐 그냥,뭐  전는본면  뭐이 밌도 무게  쳐으는  거지.
<sos>가락 분우 아랬가 번아해가지고 집에서 아랬 양 때 같이 분우.,가취  실야  아방가  좋아까가지고  영에서방  위  때 같지  등.
<sos>일갈 영화에 그 년크기잖 잘 이게 자근어 내는 거 같애.,일타 분았에  그 트었기진  걸  이이게 만근로 으는  거   같같간간.
<sos>그래도 력지 히고 게명 하면서 구학 공할잖 먼파장 하는 게 번을 거 같아서.,그래래래도  도지 고 갔명  하면서  구 응와잖  거지이 한게 좋 거멋어.
<sos>이실 쓸어 너무 쓸었어. 내가 사 학봐이 문 보니까,이이까날  대했데쟁어.  보가 사안으이 세뭔니해.
<sos>들데 쁜로제 조유 솔슬이 그자웅가지했 항,들데 빌로말 즈한애데  그한 단 가지고  그?
<sos>그 와 유이서 분가지고 R쩌 백집도 가고.,그 새삼에서 처가 좋 한셔 근빨다 가가고.
<sos>어 어 않아. 에,어  아 교아집.
<sos>아 그인면 그 너 있던 데서 국 사람이 일하는 거야?,아 그잖면  그  대  이바데서예 사약이지는 거야야?
<sos>넌 우새 메는 가구가 철나동카나?,움  여제  습는  직명가  검나이무무나?
<sos>많지.,교지.
<sos>언왜 케에 그런 데가 있다고?,졌잔반에 그데 있바?
<sos>많이 산럴이 됐긴 수어. 요리가.,만 엔라리 랑기수어  마리가.
<sos>어 너 그거 영화 봤어?,대도  그거 분았걔어?
<sos>선데,데.
<sos>나 딜게 삼고 싶어.,나 겠게 걸고 화어.
<sos>아 그래우?,아  그그냥?
<sos>그거잖 포맞을 해서 이렇게 결겠다. 들데 생리대 공맞 하는 의기가 그건 말이 안 별다 세 다 여고 가면 금 어강게 북 거바 그렇게 그렇게 해서 날가가 나등 게 그때 한 오드 맨 원막가 육드 맨 원 나느던 거야.,그거진  내않을래서리게 싸정다  들데  친형너 내전 아니가  애  많이 는  와  다먹고가먹  어까을 거금십야.  그주주주주게 그주게서  다르나 나될게 그때한 러냐했다이는 냐트했에데 나어.
<sos>내 말은 써파을 하다가 그거도 써파에 일혀으로 가게 되면 가고 싶은데 어제 딱 그거 의기하만마만 지금 접은 힘이 그인더라고 어강든 사쇼 타라면,보만는  지프는 하다가 그것도  없프에이하되로 가기 근는 가고  화은데  어제당 그 저기 자하자아.  지할 름게 까이 그잖더라 어떻금  사입 하나면.
<sos>그속는데 그래서 약간 가리고 좀 그 재실로 빨은 사진근 있를아. 꾸개에 러 프사 같은 거 하고 이런 사진을 보T다고 주맞수어. 어제.,그는데데 그래 너  람람애터 각리고고  터원  친미무지할  사프근이금  상생 막임 사같바 거  하고  이런  사를는 내정다고  지않 수어 교지.
<sos>하혔색 아이보리 조끼 굴곱에다가 가빠 보라색 가치 가빠을 튼고 느거든? 그래서 내가 어제 그거잖 야 나 너 론냐할럼 알고 있었어. 그때 그속를아. 이인니까,하계제 아이내진  반게  밀높이다가  다받  내무학다 하받을 식거그금 그그 때 마지 그거진 야직다 도  먼중 싸고 무어. 그때  그지 장니해.
<sos>그리고 그 읽만리. 이렇게 대짝 랑 소 있으면은 그 랑 만리잖 다 탔 탔갑 검 구 있어. 물 안에서.,그리고 그냥냥자리  이너  년  알보도  있있되면은  그보었 두리진  처고 음르 틀 구  있있있어  두까서
<sos>일 났 이 일 아이 그니까 내가 그 새럼잖 갔는데 그냐 간 냐 쉽에 전화가 등 거야.,일복이   아그보  보가 그 새불진 직는데  그게중  애중  끄에   왔았가 거야야.
<sos>딱 이제 아랬가 난마가 안 별다는 걸 아랬가 씩아렸 가지고 아이 그거잖 알계어야 되는데?,당 이제   아방가  봤요 안으나는 거 방  자어좋가지고  이  그거진  좀적적씩야야야 으는데?
<sos>아니야 나 거기 다료 때 그냥 나 주말이면은 청자 원 꾸일이면 자 오열 원 그게 멘이었어.,아나거기 한데 그냥 나  예짜이면는  개만음  메저이면 많 반기 짤이어.
<sos>울로 노림 단충 준 하나도 안 나고 그냥 날 견본C잖 절왕에 글막 준.,몰로로 들지   하나 안나고고  그그냥  다  경본리진  찾처이 피었만
<sos>어 몰변어? 나 러 국 시간 비안 그거하고 그래 답추 그림 넘기자,어 몰났어??  막예 시애단안  그거고  그래 던험할쓸멋공 만.
<sos>않아. 낸물 그 커남가 그리고 되게 준있는 커남카었어.,교아  클돼  그 써달가 그리고고  으게  맛있는  옷달무무무어.
<sos>그셉. 훨칠품십 치돋가에서 한살막이 스시잖 결아우. 난터나꺼?,제없영향데 싸아해이상 한속이이  시소 처아이야야.  봤차하아.
<sos>국 픽가 국 국 보민 삼 구 있지 히바? 국 보민?,스공가  예 모트  살  구   있있지장십 예든로
<sos>러 러 베정에서 온요는 그런 십라마막 건가? 그친,막 그  막블겠에서  혼마는  그런  근런한 건가 그실.
<sos>어량더라 했드 유 벌에서 하는 게 은들 어상행.,어훈더라  했냐삼  렇서  하는게  움할 려.
<sos>이제 이모할짐서 역목 관광 일을 하시는데,그  이번속에서  키칠 하녁 일을  하봐는데
<sos>한중사는 요리 집에 삼면서 다료 구 있으니까.,하니 상는   리 영에 살삼국 다쯤 구  있있니해.
<sos>줬살도 번고 나도 막도랑시아 가봤어.,폰속도  왜고  나도  었돼에  시 가걔어.
<sos>음. 않는 거 같애 나도 기져나.,원 교는   같같같간. 나도 기팔나.
<sos>그거는 만기가 너무 이려한 애다.,그거는 자자기가 대인인  이상았까다.
<sos>아니 난마가 대할년 해순어.,니 봤요 아 간내 그까플어.
<sos>팀임 저 해. 애근 군대 가서.,애용 또까?  간던  밖너 나서.
<sos>팔살은 따로 두했근이네은 안 갔어?,초속 회로  운했너 하나  안직어?
<sos>깐기에서 웠어칠 거니까.,밀게 사랐어힘거니니해?
<sos>집 가고 싶어.,원영하고 화어.
<sos>감밖 번아하지.,결아좋아지.
<sos>너무 오래 걸리를아.,대인  어래음리오아아.
<sos>뭐가 잘되는데,뭐두금?
<sos>어 오쪽.,아 러찮.
<sos>은영이는 뭐해?,졌냥이는 뭐까까?
<sos>이제,이제
<sos>아 찬까,아해
<sos>나 지짜 훈패 외속어. 너무 딜으쨌서 나는 같은 알치생막 매 알고 그 적원막 매 알고 버맞반은 따로 나오미 매 알계거든? 들데 버맞반이 너무 딜으신 거야. 그래서 진짜 훈패 외속어.,아 지말 애법 레났어.  대인친인답서 나는  같은 좀 좀치생었힘아고   그 지음었제좀고  차않기면 회월나화지 을거금??  들데 느전카이  대거 친인신거야야야  그래래래서  를말할병  그빠어.
<sos>모르겠어. 아 잡늦에 잡늦에 토만기 성라갔 아 근어갔는데 걔 말고 같이 간 애도 비옆이었던 거 같거든? 그까 비옆끼리 와 유이서 갔나 분. 들데,모맞정어.   아  르내이가  폰현 직자   음라버거  근어직는데  난  짜고 같이애에서  단차에바  아거금??  들데데 단차기  문삼이서무나실 들데
<sos>게술도 막생이꺼. 게술도 막생에 미전이에우. 랑 게술 미전이고 아란 맞엄이고 랑 우즘에 뭐 석 아놔 벗 없어우?,게편편르  었생이좋스공었데이생이 항지 니  난냥 동쪽이고  아아 노아이고 랑  그냐에  뭐  뭐뭐 요은데 가 렇어우우우?
<sos>아 맨 시에 책길부지 고확되랑. 좀 쓸게 가는 게 이찰일 거 같긴 한데 어물남 거기 가서 백 여고 그인고 만고 오는 거 아바?,아  데 록  노짜지 고완데   경점게  하는게이갈  거공  한데  왔 음  가서  즘먹고  그잖  코러는 거에?
<sos>그까 그런 거 그 정도 안약 편는 사람도 아놔데 안약 한 좋도 안 농 사람은 내가 하면 얼마나 아프겠어.,그해  그잖거  그겠도  아람줄  볼다 바데   아니  한 번  나 프 다는  보가  하는 작거라릿 어.
<sos>세플 옷한 튼훨가 난터 많긴 하지자 랐녔이는 진짜 도못장 저 하겠더라. 랐녔막 삼릴 빠베이 없어. 군대에서는.,와절  만버데리가 차막이 하하지아 론녔게냥 었이제  과없또 하정던라론똑꼐 럴두리  한내로  렇어.  들데서.
<sos>들데 선가 십라마잖 나는 왜명 먼파장 저 보겠어.,들데  배가  던라요진  나는 갔국투프이 또멀정어.
<sos>태려이 학교 태려. 태걸려이니까 깊엉이가 진짜 난터 배기거든?,홍상이  스르연사 긴덜 상니니해 고응이토 봤차용기거금.
<sos>그냥 있다가 평말 성라느대. 그인면서 이게 무슨 힘제간근이바고.,그냥 이다가 긴짜  른라 버때 르면서   이게또외  통제애년
<sos>아 들데 진짜 너무하다. 너 그거 나느어? 구쓰 떻람 나느어?,아는  를말  대인다대 그그거 나버버씩 구애  남드 나버버어?
<sos>뭐라고 해야지? 그런 데잖 가야 약간 선가 데이트 뭐라고 해야 되바 이거잖?,뭐라거지 그런데가야야람애 배 가가 같간  레라고 야냥아 거금?
<sos>그래. 그니까.,그래그니해.
<sos>아니 아니 그렇게 말하지 채시 알치 만리 있나우? 어,아니야야아기근게 좀지속시  좀치두리 나이?? 어.
<sos>아 나 오됐 버피 약명 있어. 가지고 안 늘 것 같다.,아아  나고  느선  람낌  있어가지고  안됐 거같같다.
<sos>너네 같이 가거나 두했 한 유 같이 데리고 가야 문.,울네  같이 하했나.  운했면  같이  으리고 가야야세.
<sos>아 지짜? 들데 좀 뽜새 안 나는 거 같애.,아 를말? 들데   터 타생 안나는  거  같간.
<sos>개고기? 않어. 개고기 많이 여으면 점끼해.,국업기??  많 국음이  많이먹점기.
<sos>안언 안언 지금 댄어도 되지 히아?,안경 안경  지할 째서도 으지 장아?
<sos>업은 달끗 진짜 진짜 잘해렸.,올억 올램  를를말  를말 걸맞줘.
<sos>응.,집
<sos>어 아 시간도 없고 그냥.,어 아아  시애도  렇고  그냥 .
<sos>그냥 럽든 다음에,그냥냥냥 올낭다원에까?
<sos>하나자 더 캐아분. 하나자.,하나음더내  실실 하나만.
<sos>그거는 뭐 공솔한다.,그거는뭐  응가한 다.
<sos>어처 사시는데?,어갈이  사시는데거.
<sos>똥닿욱에서 일하고 싶다.,록영이문어고화다.
<sos>그거는 이제 학교에서,그거에제  스르서
<sos>감잉럭이 이려한 거 아바?,국리지  상한 거  아니야?
<sos>이 하면 안 되꺼? 싫술새,이 하나 안안  으서 운었제.
<sos>그취 구 있지.,그필구있지?
<sos>그 누했 나느지?,그 된했 나버지?
<sos>으음.,집
<sos>찬게 이런 폰이나 이런 뭐 어루 말이나 그런 것은 내가 채시 잘저 생각부 게 아불까? 그인씨 뭐 하 학만근이나 방유한 사람근중 거중 폰을. 어 거잖 표갈을 청아서 어 이건 내가 지나단게 뭐 뭐 뭐가 이렇게 좀 댄어나 생각을 허랑?,게  이군  누리나아  이군 대  어갑  짜리나  그런거서   보가  티품봐 걸또생각게   아니해  그건  뭐 스기  년 나  르명 삼한  사약근  그 이  그거진 좋  그얼내로  사아서 어  이거데 나운나못게한  뭐  뭐 뭐가  좀주주게  알 디오아 생각을잖에?
<sos>그거 혼나고 한 국 시간이나 와 시간 홍에 치로 이제 일 물 싫가 활험 앉고 그섯에 뭐 청 사 일 홍에 이 물 싫가 활험 앉고 청 물 앉 청 물 사 물 하고 이제 마지러은 오 물까지 있는데 마 오 물는 못 전화로 렸.,그거 길나고  하  예시애이 나문시한게  치로고 으일 두없 르 류고 다에  뭐 개 사야지  이쪽 얘아르때고  쁘자핫  개쪽 사두고 이이제  교되만은  어끊해지  있있는데  막고노는  전노아로도.
<sos>손는 냐에는 들데 그 손는 냐에도 학교에 약명이 있어서 그냥 학교에 만주 갔었던 떻이었던 거 같아.,시는 나에는  들데  그  표는는  나에도   스르  람국  있있어서  그그냥냥냥  스르  섯없 직무바 얼이바거  같돼.
<sos>러 일 봐자 씩고 파동하는 사람 그렇게 많지 히고 진짜로 할 접기 크해서는 이 청 봐 정도 러 생각하고 이렇게 하는 사람근 되게 많던데.,막리는만 왜고  프동는 사네  그주주주게 많지고 를말로  핫기에올이 이상테겠도 막  생각하고고주게  아는  사약근 으게  한바데.
<sos>먹워 한좋 가만. 내봐 이 경에 들데 고끝학교 때 업막 되고 이인면서 보니까.,싶따 애인가서?  때테니기음래들데  고몇 르때  조었너마잖까서내니해.
<sos>살확 으까 시확근한테는 그게 혀려 같은 거일 구도 있을 거 같애. 이게 마단 내 거막 것막 싸,응완 된해 었근한 때는  그게 한상 같은 거구도  있있을 거  버간.  이 교지  너거었거 신냥?
<sos>임 유 정도. 임 유에 작 유 드 프로. 조금자 더 하면 되겠다. 청 버 육이면. 진짜.,동삼온도  속삼에  냥 랬임로  루취만 더한한  으정다  개느 늘기있면 를말.
<sos>진짜 이제는 전욕 직페 안 하는 얘학교 두했 러 이런 애근도 다 떠 있를아.,밖다  이제  전분천격다나는 좋스르 샀할막이런간근도 걔다  있있오아.
<sos>그인면 작 시할럼 작 국 시 딱 정해서 뭐 그 쫌비을 하던지 그인만고?,잖면  여냐든돼  천예시  당 겠에서  먹 고  쫌단을 하바지  그잖지고.
<sos>아 의기 악내지 말만. 토만기 뚜어 오회다 진짜. 아,아 이 고하지  교다  역자은근어  어군다 를말말아.
<sos>썼아서 이제 거 숫릭럼잖 벌에서 이제 도면을 그인야지 되니까.,안근올제  그  넷볶돼로  아에서던 과와라 그리까없으니해.
<sos>이실 보건 케으로 윤게 이제 줄왔추 려줬에서 따회 걸로 가기출 운 맛근지.,이미  내번반되로 권게  이이이제  매뭔었 한데까서  회는 잘로 하공알  술근지?
<sos>들데 그냥 빤명 써올하라. 써올하라. 하니까 뭐,들데이 냥 년명 돌업업하라 택업하아 하니해  뭐뭐
<sos>원래 길델하고 망길한 게 번지.,음래  남라하고 그냥 부치한 게  좋지.
<sos>뭐 그런 것도 나성 구도 있겠지자. 못는 그런 것을,막 그런런 것도  나원원구도  있있정지만  올는 그런 거서
<sos>지금 였맞 가거나 아니면은 청 경?,지할상냥  하거나 아니면에  개성?
<sos>청자 원 주고 수는데 너무 박리 하는 거 아니야?,갖번원 없무있는데 대인 등리  하는  거 아아니?
<sos>들데 브복 그게 국 소나 근어갔어 법신희가,들데 앞씩 그게  예소소나 근어직서.  졌신르가?
<sos>이제 안 범갑도 별다. 씻지 아나? 두한 뤄왔가 없거든.,이제  안긴할머다 완지 장아?? 지애램  먹무거금.
<sos>지금 받니 하는 적무가 정후하게 뭐 뭐 어루 거 해?,지할언니 하는  운했가 전아게  뭐 무바  거야?
<sos>완전 론냐에 그,닌전 먼중에  그.
<sos>일날 딴 좋김는 어 막열 케,일드 견번제는  어   었노반?
<sos>않아 니 오 구영 다니고 있어 왜명?,교갈  뭐  못한 다니고고  있있어?까명?
<sos>아니야. 하민자 수어. 어.,그냥 하군  안  어.
<sos>아 노리스마스 때 뭐 해?,아  그구학말 번까.
<sos>그 쓸으면은 다,그던지면은처
<sos>비토 얘에?,그 래 세명과 같얘에?
<sos>외인 다니했,와로 나니했
<sos>마약 시트 같은 점끔?,요람냐연 같은 점때?
<sos>오됐은 오면서,언겨제에  대면서
<sos>약간,람애
<sos>잘 보는데?,걸 내는데.
<sos>아까 아까 힘이 이려하게 의기해가지고 원래 와 시 드 오 년 작물카지. 들데 힘이 논최격에서 식고 오는 매 알고 나는 힘이 식면은 전화잖 매매 알고 왜명 힘보고 전화 받제 오지? 이인고 중정할격에서 기다리고 있는데. 다시 드 오 년 앞어서 전화해보니까 내 홍에서 러 오 년 드 년 앞게 기다리던 작물가 내가 식야 되는 작물십라고.,아그  아애 통이 상이기까 가지했 음래 림 시냐은트  천두지데 통에  확한간에서처고는 힘라했나 메 처면은  전짜  없노좀고  갔서 병뭐  날나 언제어지려거  데겠 와에서기 다리 형는데   다학지러 대어서노아까내니해  보 끼에서가  러트 냐은 번 기 없 남이바 천두가 보가 처야야야 으는 천 섯던라라고고고.
<sos>그 직말에 가구근 나예서 러 공직한날 말야. 들데 이때 진짜 얘살은 스쪽일이 노했나잖 점캠 게 요추 호적장 자약에 뭐 방유한 애 누했 있바? 뭐,그  계짜에 가구 나서 막 했하드 짜야? 들데   이너  를말   얘속은  학튜  그트좀야점락게  마호긴히  만람게  뭐  이삼부까도 했냥  뭐.
<sos>아니야. 진뺀이가 름베 역역해밥했. 디 냐추 거 보고 내가 아 그런 밑은 도났은 아니다. 데 캐기도 도났이를아 어셔든.,아아니  지할기가  감블임불에  직했 과 중험 거 내고 보가  그 근런런 지올  불디는 나니다  럴게  된번기지아튀금.
<sos>요달 근어갔을 때 사람근이 다 I 뭐야 이런 돈으로 참다분야 별다는 거야. 들데 너무 공솔 가는 거야 그게. 그래서 볼만 족었었어. 생각필어 지금.,인올 근어 가을 때   사약근  다강  뭐로  맨 섯았요야머다는 거야야야  들데  대인  응준 가는 거  그게 그래 서다 또무무어.  생각 거어어.
<sos>그인면은 원래 그전에 어예나 하는 거는 한 좋도 갈연이 없 없는 거랑? 아차? 그면 어예나 어예나 에 또 관피 있을 구 있는 거랑? 너는? 그렇지 히아?,그면  음래  그전에  어재나  하는 거  한번에 타왜이  렇  렇는  거랑?   아물물  그  어하나  어나비 딱선이 있구구  있있있는  거랑?  는  그지 장아?
<sos>그단. 지금 교용동 오회 거네 동셀해서 동교잖 하면 시항이 더 많이 오르긴 한 거지. 막건동가.,그못  지할 내키게  마월 거네  동래서  동르진라하면  지할이에더 많이  맞공  한 거지할뜻해.
<sos>체 과음에는 다 막제 큰들 수을 때 나네 알게 레을 때 그때는 이제 른원 많이 좀 앞갑 순거든.,데노원에는  다었제   왜할수학 다는 기 아긴 수을때  그 때는  저너  까 많이 터 였가좋하야?
<sos>요리도 이제 치랬지겠어우. 다음 주 다다음 주 구광른 지나가면 금빠 소쓰이랑우.,리높 이이이제  걔방지정어  다원원없  디다한 없  그리에  지나가면  할받 소였이랑야야?
<sos>쟁빡하를아. 아 들데 체 과음에는 뭔계지. 아니면 구정해도 되지. 구정되는데? 옛천아.,대싫하오아  들데네쪽는  다적지  아니요 줄노까도  으지  구노으데?  출오아.
<sos>들데 엄 그게 너무 짜평이 엄 거야. 아니 그냥 합찍 집 벌에 간다 나 하고 내가 간다 수거든. 피지어.,그 엄  그게  대인 처던이 는 거야야야.  아니  그냥  잠딱 지솔에 애다나 하고  보가  애처 거금 선이야.
