targets,predictions
<sos>조리학본 한좋 가 보까? 이인고 간 거지 나는. 그래서 내가 자약 왜명 조리잖 한다 하면,국잖후 면  가해  이주한  거지  나는.  그래서   보가   만람  아에국진    한 다원면
<sos>아이 그걸 누가 하바고. 그거 안 한다니까. 너 같으면 본팔 청 소경 하겠바? 부상면 믄 하지.,아이  그잘   된가 하십고    안한다니해.  아  대 같되면  본에  개  소을   하정십?   부려일 없하지.
<sos>우 않다. 그어 딱 점짓어. 한 하 한마처로 우약을 하면은 이헬 데이럼에 시대다.,  다.  그거거   당그점링어.   한 사 쳐 나너로  여을 하면은  이제는  년이돼에  시너수오아.
<sos>그인니까 좀 한살이 엄 더 삼기 번은 거 같애. 그런 나라근보다는,그잖니해 알 한속이엄  비  살기  좋은은은  거  같같간   그런  중라근  내 근는.
<sos>아 들데 그때 아무리 생각해분도 브 눈가 급찾보스먹야 되.,아  들데   그때  아인인래 사까 실바   앞 했가 잡전 내줄야야세.
<sos>건쓰려중 듯왜잖 대서라도. 전 지금 간이 안 번아서우.,안  사지  응준상이  값놀 년구라도   전긴  색이 안  좋아아서우우우.
<sos>그런가? 영어가 원래 려대꾸가지. 요리 때 는?,그런가?  분어가  음래  상폰메  본 같지일  마리너  는?
<sos>자국? 작 그인면 집자국 타까 먹기? 가 치로 벌이를아,만예?  보가  집   철면   영만도 돈 다  여기?   가싸 아족오아.
<sos>그인면은 들데 그것보다 지금 깐라테스 하는 게 더 디이 문?,그잖잖면은  들데  그것내다  지할  끔라년   혼는  게  더   과이세?
<sos>았 그 오랬가 배 톤님막 막 거지?,싶  거방가  달시워을  까었 거지?? ?
<sos>우즘에 너무 워낌하거든. 한 작한 시 작국 시에 일어나가지고.,우맨에   대인인  따각하거금금?  한  천 한 시  천천예시    어나가지고?
<sos>딸 만. 아술 가면 어때? 어랐해?,경두  안안  가면   어때?   어떻게?
<sos>좀 두한 거 같던데 대학교 서 달티배 사막 거 같은데.,터  운한  같 은데   너너스스스스르서   서행너의  사었  거  같같은데.
<sos>그 발굉은 영은이가.,그  억쩔은  분음이가
<sos>엄 떻입이라는 게 되게 신기하다.,엄   얼일이하는 게  으게게  신기하하다.
<sos>아 그래서 그냥 그런토다,서  아 그냥  그런런   직다다.
<sos>내일 무슨 른원록? 더 잔?,보일 인외보거?   더를?
<sos>아 진짜? 에이 떻하랑.,아를말?  이 얼하랑일.
<sos>물년하랑.,뷔트심랑.
<sos>시뤼가?,컬센가?
<sos>어 신류 똥닿욱,아  신센 시지 얻이
<sos>많이 이V현지.,많이    뭔플지.
<sos>최나 누나 자나기로 수다환? 이인는 거야. 그래서 어? 후정 안 수는데? 그니까 이드 일 일 냐 자나기로 수다는데? 이인는 거야. 그래서 어? 후정 안 수어. 러 이인니까 아 그인니? 이인는데. 토만기 어헬가? 그못짐 최엄 그거 아니? 이래 급극척이 그래서 뭐? 이인니까 약명 써개레어. 이인는 거야. 그래서 애감에 후정별 것도 몰변어. 러 이인면서 의기수었거든.,졌심 나  만나 기기주벌 골?  이잖받  거그서  어?  티겠 안안  수는데 이일해  이냐  일 일일  중  만나 이 으는데  이잖는 거  그래서    티겠 안  수어?  막  이잖잖잖니니해   아  그런이  이런는 데 역자기기  어량가?  그날께?  졌엄   그거   아아니 이래  잡급마리면서  모  이잖니니니해   람명 돌국발수수어거서  에결에에 티겠 머 것도  몰휴어. 막  이그잖었서  김왔수수수무거금?
<sos>내가 보기에는 너는 대막관왜가 이 사람을 그니까 그 사람한테 크로잖 심는 거보다 크로잖 해주는 케막 거 같애. 그래서 또 채시 그취지도 모르지.,보가  내기는   대는  너었딱갔가  이   사약을  그그니후   그  사사약한년  의우진 디는  거내다  일성진   까없는  반었 거  같간   그래서  비  품시 그빠지도   모맞맞지.
<sos>그래서 그것도 막제 엄관이 할략참가지고 집사람도 금빠 헤는데 운 전에가 누가 또 새 급신힘 헤다. 그인면은 집사람이 치로 돌 짜평 내 더라니찍우. 그게.,그래서  그것비   이제   엄애히  임짰답가지고고 기사은  대   그짜수는데  터놀이네  된가 비  학  시 잡시 수다  그잖잖면은   즘 사약이  치로웠  회리 간근다니해  이.
<sos>음 그래서 물라리 그걸 포기하고 가고 싶은 스통맞을 정한 다음에 부막심는 걸로 하는 게 요리 마음은 떻부 구도 있어. 석이나.,그래서  두라리  그잘  름기하고  가고   화은  학체않을  겠한다원에   부쓸  디는  잘로하는는  게  마마리  요원은   얼부   구도  있있어  송이다.
<sos>맞애세 같은 게. 그래서 벽어현는데 그인고 나서 걔가 러 찮를아. 러. 밌 가서 밌거리에서 오작하를아.,않간을  같은니?  그래서  까순순는데   그잖고 나서 난가  실 크지. 막  육  가서서   소거에서    러천라오아.
<sos>어점 정도 않퇴 주는데 게랑가 해 매지 모르겠다. 들데 괜천아. 려관없어. 그 위리 짜잖상고. 운 널게. 또 다시.,그  어점 겠도   교냈 없는데  난랑가  까힘지  모맞정정다. 들들데 별쪽쪽은  상딱이  렇. 들그 파리  겁을려고   알   겁게.  대인  다시.
<sos>야 한 작 좋 접씩계어. 나 진짜 너무 갖었어 내가 딱 그 그 증간출 진짜 나가고 싶은데 만권 접씩으니까. 너무 갖지.,야한 여   번  코적어.. 들아이이제  대인인  떤무어.. 보가   당 그  그태나담  를말  나러고고  화은데  자투 든다내니해.  대인  태긴..
<sos>교요 모든 교혀 학생이 구올 때 영어 편지 와왜 각살에서 다 오니까는 공용으로 의기 부라면은 영어로 해야 되니찍.,놀거 모금  르하네생이  멋력때  통무 줄지.   친게  가펌에서  다 러니해는   응키되로  저기  부부라면은  분어 로 까까까까야야  세니니해.
<sos>뭐 어강게 이런 크트잖 가현지? 서로 할인행하면서?,아.   요연게 엄   유슬플지 서로 임잖가면면서?
<sos>았 나센데 뭐 그 숙고는 나센 금 못 사람 나센 거 숙면은 나센 거 없어 그인면 뭐 뭐가 뭔라.,마니니 나  아퇴데  든관 식 거는  나알   들  자사약  나은  거  패면은  나퇴 거 렇렇어 뭐 같간..
<sos>그냥 일갈 제일 많이 가고 일갈이 그나마 제일 가기 번은 나라야.,그냥  일일타  제많이 나고.  일번이  그나은 줬일   가기  좋은  나아우.
<sos>그 직직해 하지 말고 너무 또 할섯솔도 밥지 말했,그  저테이   하지  짜고  책인도 든였색도  같이  짜고
<sos>어 디은? 디은 만기가 다 왔는 거지?,어   과은  과은  자게  다  내는  거거지.
<sos>그까 한 유은 돼제잖 했수고 한 유은 켜을 했한 거야.,가 한 삼은   청제맞고 수수고  한 삼은  다 맞고 한한  거야야야.
<sos>아 선가 토만기 려끊한 게 여고 싶어 현어.,아  배가   역자기  상누는게  러러고  화어플어.
<sos>무슨 노림이지 아까 사진 빨어궁었는데.,태그이   싶지?  러해  볼이  빨트렸무들데?
<sos>직저도 있고 러 춧도 있고 그인랑.,분 비  있있고  막   때도 입고고  그런랑.
<sos>아 들데 러,아   들데데  막
<sos>그단. 았 그속대.,수못  싶   그빠데.
<sos>쉴잡이 갔는데,올용이  직는데
<sos>어 초알은 알계랑 그래도.,아 나은  심적랑  그래도.
<sos>그래 그렇게 가면 되지.,그잖  그주게  가면  으지.
<sos>모르지? 그냥 말하면 몰라., 모맞지.  그냥냥   만하면   몰라.
<sos>아니야 아니야. 귀래럼 줄는 데야.,아니야 아. 야 옛슨돼처는데야야.
<sos>그래? 더 알아봤바? 집에 가서?,그래?   더  좀아 워십 영에  가서?
<sos>얘개기올막가 보랑.,얘국르었가 내랑
<sos>켰 어강게 봤대?,난는   어떻게  걔너.
<sos>알겠어.,아정사
<sos>아까? 뭐 여었어?,아해   뭐 먹무어?
<sos>팔제 물도 뭐라 한대.,초왔 두도  내라는는데?
<sos>아 진짜?,아  를말?
<sos>용왜?,단동?
<sos>아 그인면은 뭐 자약에 얘살 격사잖 공할하겠다. 그인면은 블이 려학본 안 나오더라도 얘어 얘돼학본 나예서 얘살 격사에 관피 많으면 그케으로도 나타 구도 있는 거고 또 얘살 돼만학은 내 생각출 좀 어상찮 거 같은데 그래도 그케 하면은 그케으로도 나타 구가 있는 거랑.,아  그잖면은  뭐  아니에  얘들 깐  사진   응든수다   그잖면은   그이   사사스본  안  나재더라도  지았지 트스해 나재서  얘속깐사에  딱선  만되면   그반되어서  나 돈  구구 더  있있는  거고더   얘할 청자은   생각이 알   을   거   같은데 그래도  그반  내면은   그반로 비  나돈  구구가  있있는  거랑.
<sos>들데 너는 아니를아. 너는 그냥 전기 케에서 뭐 한 게 있어? 너는 뭐 뭐 처만막? 뭐 즈 한다는 거야. 대산 뭐 실래에 대한 뭐 축옷이 있어? 없를아. 지금까지 뭐 너가 한 게 그냥 태려 크에 그냥 찾이 맨 맞 가지고 착연 착연 연은 게 혼이를아. 안 그래? 엄 들데 일날 자현어. 만비물에 대한 뭐 할함을 자현를아. 들데 너는 하는 게 없어. 안 그래?,그때  대인   아니니오아..  대  그냥  전동반에서  인한  게  있어??  대는  뭐  못걸  모  인 만다는 거야야   너긴  뭐  미제에으한  인  꾸이  있있어?   어두음  토해지  뭐류가 게  그냥냥  랬상  쓰에   그냥  왔이  늘않건   가지고   그왜사  전지 뒷이오그??  엄  들데  일일드   만플어.  자단두에  으무     즘  안좋오라.  그냥  대나  하는  경 렇무 거 그?
<sos>그 영화가 급들에 제일 급들에 갈 게 그건데 재될었어. 약 되소 어강게 보면 방단한 주헬데 그냥 떻하게 양 구 있는 족으인 가는 그런 점끔.,그 분았가   잡들에  제 잡들에 타 게 그건데  친형형형무어.. 람애  으게   어떻게  내은  유못하는  없머데   그냥   얼하게  위   구  있는?   활구잖  가는  그런점..
<sos>교류에서는 그냥 간맞 많이 여어가지고 그래서 허니 숫보가 여고 싶어. 내 두했가 푸랐이네 허니 숫보 조활이 그렇게 준있다고 하밌래.,르센에올   그냥  색않  많이   먹어 가지고   그래래서  아니  응 내가  먹고  화  보  운했가   A뭘이네 빼니  응든  좋아쳐이  그주게까  맛있다고   하봐래.
<sos>그리고 또 그 비생근하고 의기하는 거 보면은 격시 나이가 뭔라서 그런지 군대잖 갔다 예서 그런지 그냥 뭔변어. 그래서 좀 쁨 갔던 거 같애.,그리고 비  그   단생근라고고   저기 하하는  거거  내면은  그학 나이가  남라서런  이제   밖너어  직다 님서  그그런지   그냥  남휴어.  그래래서 알명  직바  거 거  같간..
<sos>들데 탈비아네 도탐라면 가서 여고 그인고 당잡 가서 그 조금 하다가 그리고 못련 여고 그리고 영화잖 보인 갔지.,들  없불쿨하는  가서   먹고   그잖  설놓에  가서   그 왔할   하다가  그리고   날혹  디고   그 분돈  내로   직지
<sos>지가 잘저해서 웠어현는데. 아니 그친 호적장 그친 그게 않는 거 아니야? 만기가 만기 집이라도 할모반 있을 거 아니야. 거기서 솔였을 해야지 그걸 블이 월한테?,지가  걸한또폰서  랐어플는데   아니  들데  호긴히히히 그  누게  교는  거  아아니야야.  지스기가   자기기  영이라  든모이  있무을  거  아니야야야.  거기기서  색였을  까지   했을 풀이 나음..
<sos>나도 잘 모르겠는데 아랬가 그냥 오랬는 따 업법려 챙 그런 게 아니라고 약간 따도 쫌전을 부 거 같지 히다고.,나왔목  모맞정정는데  아아방  그냥   러방는  를말   조함상  껴  그런  게  아아니라고  람람애  나도   쫌전을   부  거  같장.
<sos>그 껴을 왜명 그런 돈으로 편는데 그것도 되게 골 내가 생 보기에는 그걸 되게 골개부 구 있거든 년유장?,이 딴에  갔명명   그런런 랬되로  줄는데   그것도  으게 없  보가 토  내기에는  그거   으게  권국을 부    구  있있있거금  트삼이.
<sos>그도 뭐 좀 어강게 높적먹서 해양라고 작피장 생각하고 높적이고 있어 으?,들데  뭐터  뭐 어어떻게게게  캐긴이사   까위라고  천선이  생각하고 하는  봤제이고  있있있사.그때.
<sos>막사하기 갖어가지고 그렇다 보니까는 직페한 오랬가 다 같이 자나만,었 사이 떤어가지고   그주다 내니해는  계격듯 러방가   다  같이  만나자.
<sos>그 줄리 쏘붕 그거? 줄리 그림 있고?,그   싸이 러 잉학 그거??  매리 그이니해?
<sos>야 어강게 보면 랗고 밤음이 핑맞장 번은 거라고 부 구 있겠랑. 어,야  떻통  백  밤 곱는  이  쩌않이  좋은 거좀고  부부 구  있있정데
<sos>일날 내가 제일 버구 따기 맛든 본목이 일날 프B이네 확P,일일드   보가가  제  급구였  이술머  본칠일일  엄 흥편이나   완반.
<sos>방붙 나도 잘 모르겠어 어 어. 스크스 번지. 막트라둠 뭐,유손   나도는  걸  모맞정정어.  어..  컬없지.  었돼격땅 뭐
<sos>이 이게 입시에 넙이야. 글대 하면 안 문. 이제 길을 줌야 문.,있  이게   이시에  점달야야  글다면  안 세  이제  등  때야
<sos>토만기 옛신 토만기 얼쯤 쌓어나오고 그런 것도 있어?,역자기  기신  역자기   초숙  흥어나고  그런  것도 있있어.
<sos>절냐 때 또 와배해야 되는데 무찔도 저 뎌어. 그인면.,찾중  때도  살패까야야  으는데   껍도 칠 그잖  그잖잖면.
<sos>치르는 것도 되게 잘 길리고 만직스붙게 길둘었어우.,치맞는 것연  걸 싸리고  자계학손게  식났학어우.
<sos>나도 그래서 나도 따회 동동네 곧어서 복,나도  그래서  나도   회월  동동네  짱본재무어.
<sos>그 뭐바. 그 있를아. 발 발쏴스 부 거 같은데.,그  뭐십야  그 있있오아..   억벙학  부   것 같같은데.
<sos>그니까 그니까 너는 언끌이 았 안 않다고 생각수는데?,그니니해   그니해  대는  경녹이   싶싶 안  교다고고  생생각까는는데?
<sos>내가 누했라고 말하면 정막이 너가 알어?,보가된숙라고   짜하면  겠었이 대가   좀어?
<sos>아 극한이 힘.,아   애이야.
<sos>너 눈식통나길민 얼마 근어갔어 정후하게.,대  억낙 히나 앞로  작요요  근버어? 전하께?
<sos>제주도 가서 오역치이잖 봉릴까?,제없도  가서  러불나 이래  밀뒤해?
<sos>아. 아.,아  아.
<sos>아 다회 키맞. 응,아   다월  백않않  집
<sos>보용은 써항하는 게 빛노거든.,내키은 돌눈하는   밥  누거거금.
<sos>아 진짜?,를말
<sos>엄 잘 몰라 사미.,엄   걸   몰라 사시.
<sos>너무 오래 걸리를아.,대인인   러러래잘리오아아.
<sos>그건 않지. 았바면 더 선가 본 그 구쓰 본목 만산가 운 더 렌크가 그게 아마 급들에 나등 걸걸? 그런 뚝오리근이 그렇게 러 조적 와왜플자끊 윤은 그게 아료걸. 까 학 학돼중 선가 그런 시된 울로 그렇게 오래되진 히계을걸.,그건  교지   싶십면면  더  배배가  본   그  구할  가칠  자강까가  터 더   꼈니가   그게   봤요   잡 들 에  나될될  거열잘   그런런   쪼마이 근이  그주주게  막  좋긴하이근로 만암  기은  그게  아아니잘?  그해  한트에  배가  그런  시괜임로  그주주게  러래근를  장장적을 잘?
<sos>나는 우새 이제 찾쓰이 다가오를아. 아엔마다 일어나서 랑이왔에 참 분. 대학교 놀익 국 좋 이인고. 놀익 맨 좋 하면은 팡막가우? 이런 거 참보고. 놀살출 가지.,  나는   우새  이이제  급준히  다가러오아.  아엔요다  일어나서   랑이뭔에 날실.   너스스스스르  돈랜  변거세  이잖   갔명 양   번나면은 보 임었가. 막 이이럼  울피되면  놀잔었 해 지.
<sos>그리고 요리 난마도 내가 입시 하면서 집에 있는 애니 그런 며램 다 없애왔리고 그친 나는 오기로 막럼뜨으로 심기 시된수는데 어,그리고   마리  봤봤요도   보가  입시에하면서   영에  있는  간니   그런  택효  다 렇렇어 뭔리고   런  나는  러기로  었돼쁜학로 디기  시괜수는데   집
<sos>치로 잤는데 난마가 집에 예서 나보고 밖 여으라는 거야. 그래서 내가 아 나 밖 안 여고 잘 거라고 쉽새서 안 합 너무 웃리다고,이게치로  팀는데   봤봤요가   영에   재서  나 뭐  갖  먹을 라는  거야야야..  그그래래서서  보가   아 나 갖  안   먹고  걸  거라고  끄새서   안  다  대인   즈리다고.
<sos>내 나중 내가 그걸 칠릴 때까지 또 하다가 또 새로쫌 걸 사서 내가 칠릴 때까지 하다가 약간 이렇게 되는 거 같애.,보   나에   보가  그잘  지  때해지도  하다가  비 새로을  사서   보가  제보 때해지  하다나   이애  이주게  으는  거  같간..
<sos>아니 어헬 좀 냄수다. 들데 집에 있으니까 그거는 그런 거 같애. 엔대에 누행있고 그인니까 뒤대침 자지니까 그인겠지.,아 아니.  어제  알  걸수다.  들들데  영에 있있되니니해   거는  그런런런  거    같같간신너  된가 있고  그필 까너   만지니해주.
<sos>아니 공할는 하는데 았 체냐 집얘을 저수다는 개릴 메지 그리고 내가 수던 말은 기져럴이 되게 번아.,아니니   응트는 하는데  싶  산중 긴느을을  또수다는  국리수지?  그리리고고  보랑가  수바짜이  기을  으게  좋아아.
<sos>두쳤근 자냐지 두쳤근 자나고 또 외인 가고.,기말제  만중  지   를말제   만나고?   움  레로 가고?
<sos>직애는 뭐 나얘 일이고 어셔든 일날 요리는 씨못 만리잖 씩아야 문.,대은  뭐   나얘에  물근고  어특금   근   마마마리는는  합날  자진  코아야야 세.
<sos>다이어트 해야지. 아 해야지 야 삼이 랬억야 그자국지. 았 삼이 왜명 뜩가는데 았 그자웅.,걸이폰야야지.  아까야지.  여자진   방아 그만 김이   의 사찮자하는데  싶거 안도.
<sos>지금은 어처 처지스똑가? 거기 말고 또 있나?,지할은   거  지지학연가??  거기   짜고  비었나.
<sos>그렇게 문서 전멋 표잖 전할 다 혀름을 해주거나.,그주주게 세  서   전에  똑진 전든다  한든진  까없거나.
<sos>그단 들데 아낮다는 거야. 티른부 것 같다는 거야.,그못.   들데   아 섭다는 거야야야.   린린초 부  거  같다  하는  거야야야.
<sos>이실 쓸어 너무 쓸었어. 내가 사 학봐이 문 보니까,었미는 알 대인 김플어  보보가  사스 테이  으고니해.
<sos>산럴을 어강게 뭔리기 하는 게 번을까?,돌들   어떻게   남리기 하는 게  좋을을해?
<sos>응. 니 찐? 먹기 어. 서찮 횡은 가봤어.,집.  잘?  여기  어.   서크 구은  가걔어.
<sos>랑이왔 랄덩 새로 나등 거 봤어? 빠긍.,랑이뭔  p겸  새로나 안될  거  걔어??  워빵.
<sos>요리 각만 빠에서 일하면 되게 재될겠다.,마리  각자받에서 이하면  으게  친형형정다.
<sos>이제 그건데 소쓰막데 삼 글대 저 숙 걔.,이제제   그건데   소준었데   살 몸있바  또 패 세.
<sos>우즘 백 잘 안 여어?,우맨   즘  걸안안  먹어?
<sos>아 그 사람이 른맞한테 적큰 의기한 거야?,아  그  사약이  행느이 년  긴느??  쓰기한  거야야?
<sos>고끝학교 때 최듣수지.,대몇스르  때.  살라수지?
<sos>나 나 대신 말 좀 해주고 있어우.,나   나랑 착  짜지 안싫고  있있어우?
<sos>응,집
<sos>잘 분? 아 식로자 갈 거야?,걸치??  아  매로한  배가야?
<sos>방붙이라고 양 구도 있지 어강게 보면,유업이  라고 위 구도  있있지어떻 라면.
<sos>쉽에 몸십침 분서 그런 거 같애.,벌에 던큰  맛서  그런   거  같간.
<sos>어랐해.,아   어떻게.
<sos>거기 먹만애근,거기  여자 간근
<sos>나 딜게 삼고 싶어.,나  겠퍼 살고 화화어..
<sos>안 여어봤어.,안 먹어걔어.
<sos>진짜.,를를말.
<sos>아니 내가 그 돼제라니까. 테이향 만리잖 그렇게 씩아력으니까 기년이 너무 번아가지고. 았가 나는 았 못 오랬가 내네 같은 뭐 같은 테이향에 썼계는지 잘 모르겠는. 았 좋발 좋 요리 각만 지정해 주거든 p커빛 때?,아니   보가  그  청제하니해    놓켜  다리진  그주주게  코아는   러니해   체멈이   대인  좋아가지고  그서   나는   싶  왔러방가  보네  같이에  다은 흥는   안 던는 지지  엄 걸  모맞정.  싶  과는  름  마리   가해가  지겠까지고금는 할 이너?
<sos>용일되면? 소막연으로 용일되면 나는 이제 다회 나라 타 악야. 아마 들 맨드봐 비안은 언제가 맛근어지기 때돼에 디 세어내 디 때돼에 그다음에 막제 이쪽 운 번아진다 그인면 다시 오게,키이  보가  소히을  키일으면   나는  이이제   다월 나잖 돈 거야야?  아요에   들  백 신테 단안는  경지가  신근까지  때에?  키든맞랑  키  때청청에?  그다원에  이제 에찮 알  좋아하를다그잖  다시러게.
<sos>자약에 내가 대팔 망비을 난터 하고 구려 언럴이 난터 많아. 그서 내가 이거 하점라 학교잖 맨 좋 저 가서 학버이 이렇능니다. 이렇게 절유을 부 구 있는데 사람본 어? 그냥 만다가 저 갔어.,나람이  보가가   너초 망망단을로 봤봤차   구상 경테  경차  많아.. 들 보   이이거  하점라  스르진  양  번   또  가서  스느이  이무능니다  이이잖고  찾삼을 부부    구구  있있는   사약 본.   어?   그냥  자다가  또  직어.
<sos>일넷 시간 비안 청드 일 아 청드 일 청 아 임자 원 며찮상면 뭐 얼마나 일해야 문 이 주 급개 이 주는 일해야 되는데 일부 구 있겠바? 드 사 일 비안 쨍 없이 하민에 일넷 시간,일봉 시애  단안  개냐  일  아 개냐트?  끄면  아  용만  택크려면  싶  작요나  일 한 세   이  없잡국   이없는  이보야  으는데?  일부   구 있있있정나?  냐    사  일 단안   운  렇렇이이  하찍찍에에  일봉시시애.
<sos>국 가지잖 쟁상서 돌금 핍먹 있을 구 있는데 응. 한 가지는 그 법이고 그리고 법구네 치처로암이네 탁새가 돌락 뭔라우.,예가지진   싱려서  루취  뀐여있 있있을  구 있있있는데  어  한가지는  그 졌이고  이고   밌구네  치갈로 굳이네   믄문가   루취  남라야.
<sos>어 였맞에 왜튜해 력은 그 시간은 목표는 먹겨? 그니까 연어도 결 경까지는 내가 선가 해보고 싶어.,어  였않에  갔찮울  그  시애은   칠똑는  여군 해  날거도   싸성해지지는  보가  배가   까내고 화화어.
<sos>그취 구도 있어. 까 그거는 쁜붙에 따라서 이제 제 뭐 려택이 다르겠지. 들데 나는 뭐 쫌비이 많이 별다기보다는 재실로 또 하나 써실로,그필  구도  있있어  그해   그거는   빌손에  회라라서   이제 이이제 뭐  상혀이  다맞정지   들들데  나는   뭐  쫌단히  많이  머다이내 다는   친미로고비  하나  돌미로.
<sos>야 이거 동걱 거니까 입어 꼬 하잖 그냥 너무 디이 아낮더라고우. 제 스식일도 아료풍더인 디,야이눈  동T  거토해   이스가  한   싸  아   그냥  대인인  과이  아섭던라라고..  제학처일일도 안쯤  홀더어.   과이
<sos>많이 치짓지. 왼톤똥k 랑소 있거든 들데 과음에 봤을 깔 똥 눈스카고 그섯출 톤 눈스카는데 국소 다 웠어현지.,많이  치링지..  에 댓록이  보소 있거금? 들들들데  피원에  걔을 승  시써학열고   그다는   달써줄는데   예이다  랐어플지.
<sos>나 되게 그런 내몇막지 몰변어. 들데 되게 러 이쪽 러 신이 이렇게 러 하고 하니까 아 그게 무서쫌 거야. 그서,나   으게  그런  보온온이지  몰휴어.  들데   으게  막막   그 봐이  이주게막  하고고  하니해   그게   인인서쫌쫌  거야야  그그서
<sos>아 그니까 이제 자나야 문. 그때 아 진짜. 아 이제 그 누했야.,아  그니해  이이제  만나야야  세.   그때   아  를말   아  이제   그된했야.
<sos>어행 어 뭐 막세 뭐 댑쪼하시다 뭐 이인면서 러 하를아.,러뭐   어  뭔이와  뭐  샤봐 하이나 뭐  이잖면면서 막하오아.
<sos>아 그게 진짜 번다. 예뿌 나도 그렇게 삼고 싶다.,아  그게   를말 좋다.   어  나도  그주주주주게  살고   화다.
<sos>버피 지금 못련 여어야 늘 때 아니에우? 지금 와 시 앞었을 것 같은데.,느선  지  날혹먹가 으   데  아니  일 맨 탔이 도 무을  거  같같은데?
<sos>들데 지금은 신주한 뭐 하바?,들들데   지할  를신전 뭐  하십.
<sos>기뮬에서 러 랬현던 거 다 다시 근어간다고 수었던 거 같은데?,영에  가서 막  방플바  거   다   다시  근어어애다고  수탁  거  같같은데.
<sos>두했가 떻중버이 떻하다고 해서 떻중버 알치잖 했하고 있어.,춤가  메었느이 얼하다고  까서    얼까느  좀좀치진  거 하하고  있있어.
<sos>어 그니까 더인높 치로 왔상. 그거는. 치로 왔리고.,어  그 해  더절  치로  뭔리  그거는그쓴  뭔리고.
<sos>너가 죠식지 케에는 울로 롱실가 없나 보다.,대가앤다지  반에에는  케로 미가  렇렇나  내다.
<sos>동동렁 독총 그거를아. 독총 올 올산.,데동연가  료  뭘 그거오아.  아아뭘가 렇강?
<sos>활정 준집을 단면 정말 많이 나오니까,쳐느  맛영골못면 겠짜  많이이   나마니해
<sos>롭로 시된하는 날어 또 뭐 있지?,그    토한  다적비   뭐 있지?
<sos>디을 내는 거 러 이런 거 있든대.,과겨  보는  거?  막  이이런런  거  있바데?
<sos>이열 원? 해가지했 그 어.,이노음  까가지고    그   어.
<sos>아 너네 해 봤했나. 직신내에서.,아  대네  까뽑했나  천신보에서.
