targets,predictions
<sos>룰퇴가지고 먹기 딱 룰퇴있는데 어? 무슨 일이지? 딱딱 딱딱 쟤인야 하고 이거 뭐 식술릿스 같은 거 같은 이제 본거 거 러 이렇게 분야 부 때 있를아. 이제 보용 그취 때는 이제 아차 모니럼잖 따로 국고 보용 이런 돈으로 쫌영을 하를아.,어문가지 래드은봤사에 보어  인외일이근같무 을로야고 물가막  다계슨학같셔나 같지  데이제  가내고 막 이주주주주게  다물  때 있오아 이제 내키  그잖  때는 이이이이제 아물  모이 회을 회로도고  이런   이랬되로 키마 분았하오아.
<sos>좀 승지 히은 만리듣 돈으 만리겠는데. 듣 돈으로 의기잖 하더라고. 지엄좋 같은 언요는 그냥 차배네 려관없이 정말 그냥 지 약간 볶서트 힘돈이어 역노 볶서트같이 데 이좋에는 약간 차배 대신 하는 거니까 차배잖 십릴 거 아니야.,터  랬체 하은  자리 안랬되    자맞정는 데네랬되로일하는  를한한  번 같은 경마는  그냥  물 백네  상딱업렇이  겠짜  그냥 시람해  넷자연을구기로 론거듯날 너  같이  이번에는  람애 니 에  너신하하는  거니해물을진 근 거아니
<sos>그래가지했 놀살에는 그 주 그 뭐지 요리 두쳤근은 다 해 각만 알아서 이제 먹 언제연 먹방가 되니까 해놀수는데 이제 이 청류자 놀살에 G가민 집안 문가지했 그 뭐바 그 뭐지?,그래가지했  놀속에는 그싫 그뭐자  마마리리  를말근은  다 역자아서  이제  때  경문않이 이가  으니해  까기 수는데  이제이  개피원 많 놀현  넷찰지만 너가지했  그  뭐십 그  뭐지?
<sos>들데 제 언요자 제가 최재 어 그 그런 기병이 막제 나이도 있고 해서 나랬현으니까 더 길전하지 말고 최려 방지자 문도 그게 번은 거니까.,그냥  강기만만 겹을 졌제  어  그  그은 기는이이 제  나이근고까어 나방지 탄니해  더  등극하선짜고  졌상 일지만 보도 그이 좋거니해.
<sos>았바하면 사맞반이 그 못 진작 문 있는거 말고 아차 났스 안에 근어 있는 걸 순거든. 그래서 안에 내몇세을 후막 부 갑잖이 없었어. 그게 없더라.,싶면 사약카이  그  근못천 으있는거  짜고 아 복학 한까근험는 거 왔거금 그 자니는  보되로  하이을  놀진이 렇렇렇무무어   접게  렇렇렇더라.
<sos>돼 안 씩아주기로 해 내가 되게 기년 나쁘다 그속를아. 그 달생반이 청 기 그 달생반이 보조로 근어갔던 거긴 거 같애.,마  안자식없 이려그 보 너 기청나까빠오아  그사는카  개기  그  사생카이  내글로근어금  거기  거  같간.
<sos>아니 선가 몸십침으로 이렇게 보고 있다가 직페을 해야 되는 좋거로높이 있어.,아아니  배가  향던큰되로  이주게 내고  이다가 계격을  까야  으는  워가군이  있있있어.
<sos>들데 난터 갖었는데 러려 이제 척광이 맛 척광이 재실없고 따년하고 맛든 거지. 게술은 난터 번아수거든.,들데 아 두떤로한근 막어.  이제  넘녁이  넘라에  친미고회내하고  있는 거지  제편은네 차 좋 부부 거금.
<sos>나는 우새 호적장 학교에 있으니까 십라마을 저 분서 급들에 갈 십라마는 없고.,나는 어 호긴히  스때  있있있되니해 그라요은  방서  잡쉬에 합더라많는 먹고.
<sos>뭐라 해야지? 소길별 지격이 되게 많은데 그에 동해 전라도는 좀 그렇지 히더라고. 되게 선가,뭐라 긴난 등 머시업이  으리많는데  거의달 그라도은 알  그주주주지 안 근라또 으게  응가?
<sos>나도 저 해. 그 요리 집에 와행억 있어. 가락 내가 신길맞에 가가지고 이렇게 하면 안 나예.,나도  또으  그   마리영에 문음자 있있있어  가취 보가  냐등자이가가지 이주너을 안안안 나고.
<sos>맨 봐 전자 해도 안 피수어. 진짜 한 피하긴 택사 때자 그렇지 뭐.,양 밌 느만에도 안안 선수어  알 한 신나은  하적학때만거그 못뭐.
<sos>어. 가험 난터 탕었더라 보니까 발냐국도 지금 질질 거중 오 열이야.,어  가게봤 차지더라.  하니해  치라도도 외 동끼 잘러 두이야?
<sos>금 개 럽해 아니야? 그민 거기 백 뻔 동온지 히아? 일갈출?,어  서에 아니?  그  거기  즘게동혼자아일내는
<sos>어 그 달생반자 그런 게 아니라 나 못좋 다불 학원도 그속 그속어.,어  그 올너는 게  아아니네 나  처번 남 가음  그 누빠어.
<sos>거 거 어처야 아르퀵질엄가? 아 뭐 먹중도에서 한 좋 한 연 있거든,거  아월연엄 직고 뭐 여히너에 한만한근 들데?
<sos>드자 원 렸라. 드 이자 원으로 뽀을게. 드 일에 이렇게 해가지고,냐만음  즈아  봐이만을 가위게  냐일에 일진게까가 으도
<sos>들데 나 그까 그렇게 건조시밀 본일은 괜천은데 러,들데 나해    그주주게  건왔시은  본맞공쪽적데 막.
<sos>몰라? 이거 분. 이거 니가 번아부 걸? 약간 덤폰덤폰해.,음라?  이가 실이이해 니가 좋아부 잘? 람애 배그타그래.
<sos>그까 그런 거 저 보니까 난마가 름안수는지,해 그런 또내니해요근라수는지.
<sos>청자 원 주고 수는데 너무 박리 하는 거 아니야?,요 없내있는데 대 박리 하는  거  아아십?
<sos>않아 나 난터 기대수는데 원 난터 재될었를아.,교아아 차 끔으는데  음 심도친형무오아.
<sos>이좋에 새로 근어등 애근도 되게 잘하던데?,이번에  문로  근어  간근서 으게 걸아바데?
<sos>않아. 맛근 거 같애.,교아 술됐  거 같같같간.
<sos>들데 자나면 되게 첩맷부 거 같긴 해.,들데  나면  으게치 좋부을  거 같같간.
<sos>않랑. 응.,교랑집.
<sos>마음이 안 여어서.,많이야안안  먹가어.
<sos>그래서 가는 거야.,그래서 가는  거야?
<sos>부자은 해.,좀요.
<sos>사큼 같은 거 아니바?,자을 같은아 아아아아니니?
<sos>어쩔 구 없지.,잉때구지.
<sos>들데 이것도 말하기 조피스인쫌 게 뭐 아적 해력은 게 아무것도 없어서 이제 러 시된하는 거라서 나도 그런 거 있는 거 같애. 들데 너가 그 의기 하니까 나도 약간 동랜하게 그렇게 생각이 필어.,들데 이이것도 람애 짜하게 왔선 그약 게  뭐  아긴 난는 게  안것도 렇렇렇서  이제막괜하는  거라서나도  그런  거 있있있있는  들데  대가  그저저기하니해 본너애  동황황처이게  그주주게 생각이최어.
<sos>들데 준있긴 수는데 다시 아니 그냥 짜맞면 여기에는 거기까지 타 깐우가 없는 거 같애. 그냥 담공 님버자 가는 게 춰첫 나은 거 같애.,들데  맛깔공수는데  다시  아니생 자않면 먹이에는  거해지 돈 끔우가렇렇는는  거  같 같간 그냥  한인 만근은 가는 천구나  거   같같간.
<sos>진짜? 그인면 그친 방니왔맵 나오면 못련 여어야늘 거 아니야 아까 분좌 발헬지쎄눈감 그 핸목 알지? 준집근 있는 핸목.,를말  그잖면  그 뭔서   나러러면  날혹 먹가야  됐해니  아해  치은  써금지 고좋까 굴요가좀지.  교영때이 있는 굴막.
<sos>착지. 그리고 나얘에 내가 놀살에 어강게 레바. 걔가 너무 나가니까 아차 내가 할맞 달생반한테 말을 해왔둘를아 꽤 의랑 직큼년데 응?,그못  그리고 나얘에 보가  그속진 어떻게는 니가 난가 대인 나가니해  아일 보가  든않마보한 년  짜을 까모빠오아  난는  계 직은데
<sos>프로는 다르다했냐 점캠 게 아 딱 직큼하던 그 움깝럼 직큼 직기하다가 혼나고 이제 혼나면서,임는  다맞다내나 좋락게  아 당에가  하전  그 C끌돼 계도 양기 하다가  길나고 이이이제  길나면서?
<sos>너랑 뭐 와금 많이 내고 운 냄 브어라 이인면 걔랑 입맞에서도 화가 냐 구 있다는 생각이 운 근더라고. 그래서,대에 뭐  문할  많이 보고  액치을 라 이이잖면  난진 않에서도  았가부 구  있드  머각이 알  근더라고 그서
<sos>주사잖 우기다 주입을 하를아. 주입해서 러 이렇게 이쪽 뗐쨌서 러 지빠을 숙흥날 말이야.,예 사진 여기 나 없현라오아.  육벗서  짜이주까  난 구서 막지받을 때는드짜이야.
<sos>걸 내 해주는 게 마음이 나도 떻하지. 안 되면은 선가 좀 랬지고 러 그래. 그런 일이 생텐어.,그 보가  까없는 게  많라도 하야지  안 으면은 뭐가알 방지그 그  그런 을  생웃어.
<sos>했열 원 그대로 심지. 했열 이임 원막지.,했노엄 그근걔지 속노이까가는.
<sos>그런 석으로 탕는 걸 아차 기튜을 하겠다. 이렇게 의기잖 수던 거라서 너 당잡 아니카으면,그럼   뭐을쪼는 잘  아이  기에을 하정다 이주주게저기 수바 거라서 대 관놓 아니되면
<sos>그리고 이제 아 그리고 된봐에 그거 편면 되겠했나. 그 서찮시 터봐차백날 아,그리그서  아 그 않테에  그주한 발했나  그 서크시괜테에 봐드 다.
<sos>외샌다. 이 학교 닌에 사람본 교C하는 게 너무 오품자이라서,레휴다  이 스르  치에  사약가 르리  하는  게게 대인을핸 많이어.
<sos>청 학봐 때야? 몰라지 그게 애근이 러 늘 홍떨났떨,개번테 너한 하지익게 간근이 막근  돌뇌복지.
<sos>어. 차고떻 봤거든. 떨을 엽수를아. 차고떻 보고 떨을 엽수를아.,어  봉돼  치거금?? 없을번수자  물고 불도가 졸을 번수오아.
<sos>그건 나 안 배행서 내가 잘 저 하거든. 그거는,그나가  안데어에가 걸또 하되알 고.
<sos>어 못 언려도로 간섯 어처잖 가고 싶어?,어  날  경상도로 애다어어근진 가고 화화어.
<sos>어제할럼 이제 빼개잖 터개잖 하고,어제  릴처 이제  싫국진  겠자을 하고
<sos>나 우즘에 섹노림을 안 길라가지했. 길라야겠어.,나  우맨 조누쓸을 안 앞라가지했  등라정.
<sos>머원? 그지 어제 금우일이었은,대았 르못 어제  접우이어.
<sos>어. 석이 맛근어. 이인다 진짜 날유한다.,어  모이  술술근어  일어가 지가  드삼한다다.
<sos>럽섯동한테 슷절수대 땡받.,조벌 동한 년 이어수때. 임거금
<sos>그취 구 있지. 사요처 정도면.,그 구있지 사어어갈겠도.
<sos>오장상 넌 지금이 더 번아 보먹.,러일네안  지할에도  좋아아내야.
<sos>아 진짜? 어루 버이? 마음 떻하게 의기 해 분라.,아를말 어갑느이  나 케라이 저기 내.
<sos>아이 너 버피 여고 싶은 거 뭐 없어?,아대  올선  먹고 화은 거 먹무어?
<sos>아 그래? 집 벌에 슬서미 없나?,아  그래 지설 에 론봐진  거나.
<sos>들데 어처까지나 생각보다.,들들데  어갈해지가 생각내다.
<sos>어처에 있는 아줄트?,아갈따는 아끓연?
<sos>어 너도 놀제수어?,어비도 똑 너어?
<sos>사진도 갈 연 없어?,사를도 타왜렇어?
<sos>뭐야.,내나?
<sos>꼬구 부 구 있어?,개자 구있어?
<sos>어강게 보면 종같랑. 가투 려택이 나도 그 아못란가 거중 쪼 봐 레거든. 들데 체냐 이제 가게 하를아. 요리 돈였 하를아. 그걸 이어심으래. 들데 나는 울로 이제 우리에 일가견이 없를아. 그래가지고 관피도 없고 울로 세상심고 싶지도 히은데,어떻게내면 론같랑  가는 서혀이해도   아적구가  잘 못한됐거금 들데산중  이이제제  가게 하전나마리   랬해가오아.  그  미어았근래  데   나는  케로이제  우리일 까가게이렇렇오아.  그래래가지고  가를도고  그로 켜려치고 화화지도 하는데?
<sos>나 감님에 그속었는데 버버 안 깨지는 것근 있를아. 그런 거 맘참서 러 얘간에 안 하고 이인다가 버버 럽 력게 별다 그래서 임맨 닌에 안 문 이임 정도닌에.,나 결번에  그빠무는데  서근 많안퍼든는 것근이오아   그런 거  막웠서 막 얘했면막거 일내다가 전겠올 최까금  나  그빠학  놓양 솔에 안데  이용  합까.
<sos>오 들데 그것도 않는 거 같기도 해. 뭐 어강게 보면은 어 진짜 해익하기 나겨막 거 같애. 영화는 다.,어  들데  그것도  만는 거 같기 도에 뭐뭘게  내면은   를말 수 명하이  나군었 거 같분한 다
<sos>학본 가면은 약간 째냈트 안에 근어야지 막제 교적 이구가 되는데 교육본잖 가면은 그냥 가면은 그냥 주는 거를아.,스본가면은  람애 매한년  근야야  를지 누없이 서같간는데  너본 하면은  그냥 가면은  그냥냥  없는 거오아아.
<sos>아 나 그 아적도 생각나 몰라 어처에 성둘어? 그거 다 같이 보는 데 아니야? 동공소도 아니고 다 같이 보게.,아그 아비  래막  어갈작려도  그  다같못내는데  아니?  달할일도 안까서 하못 내이?
<sos>알아떠. 그인면 못련 여기 전에 랑 시할럼 퍼울른가 일할가 서찮슨애 퍼울른이고,아아어 그면  년혹먹기 전에 랑떤든돼 국식에해  일내가서문을  조까에고
<sos>석이 노게 나오고 약간 사람중 일님연막 그런 힘줬는 아니니까 그래서,송이  그게나고 람람애  사약에  일워왜에그은  받자는 아니니해  그래래서.
<sos>먼파장 왔는 사람근? 합찍자 못된록희잖 일 봐에 청열 자 원? 금 울로 저 브었는데? 한 뭔에 청열은 브어야지.,호얘이  모는 사약근?사막  날괜해니로 일테  개란 많음?   케가  또근데?  한남에  개노 더라.
<sos>그 려크록 가면 아니 빠근이 진짜 아무도 없십라 진짜. 한유도 없어. 진짜 한유도 없어 어. 력아 그냥.,그 자었넌 가면  아  받너어  색인도근아 서 말 하면  렇어를말  갖번  도 렇어. 어단하그냥.
<sos>내가 봤으 때는 그 못련 식술보다는 링에 가는 게 번을 거 같은데.,보가 걔을 때는  그  전혹업 다편 내자는  나이  가는  게 좋 거 같같은데데.
<sos>할형워 진짜 재될었지. 할형워 말고 요리 그 빌거 그 돼 벌에 있는 거 뭐지?,든볼는  를말친형 무지  든자는  짜고  마리 그 날  그 뭐나에 있있있는 거 뭐지?
<sos>들데 이센 처만막은 내가 아처다스네 램처잖 많이 봤고,들데 이번 시자이는  보가 아니 다학네 나근일에 많이 디고.
<sos>되게 방단해 까 딱 보면서 되게 방단하다 생각을 수는데 약간,으게이 같못 해 당 내면서   으게 있지 은 생각을 수는데  람애
<sos>러 걘고 뭐 죽 입고 나예야 되고,막   컬했 막 언니고 나재야  으고.
<sos>응. 거기서도 내가 위리 복서 공을 심계어.,집  거기서도 보가   파리어서 응을  디적어.
<sos>얼 먹만도 그런 게 있어? 갱 쳤하고 러 그런 게?,성   여자도  그런 게 있어.  문법하고 막그런데?
<sos>돈세업 그 돈몇방도 돈세업 기겨 아니야?,선했는 취   구경청중  시할했T 일진 많니야?
<sos>아니야. 눈스 꽃데 임화버까지 안 가.,아람  써학  그때에 애 해지  안가?
<sos>구크아못란 말이 답추 건 또 아니를아.,구여없시  짜이 슬것 도 아니오.
<sos>못 나도 신라면 저 여어.,날나도  신나이  또먹어.
<sos>우즘출 배뭔올은 다 시통면 되를아우.,우맨은  식다라내  다  긴체면  으오아우.
<sos>집에서는 안 그인나 보랑.,영에전나 안 그하내겨.
<sos>응,집
<sos>그 사람근 렁네 이런 게,사약근  싫했네 이런런게.
<sos>그친 맨 항할럼 있어?,그럼럼  싶눈임돼 있어?
<sos>놓 놓? 어 번겠다.,호근 어어좋정다.
<sos>그 냐은 말꼬 문.,그나약  짜하세?
<sos>난터 아꿨어.,봤차  아끓어.
<sos>그 제 양자한.,그  작만음
<sos>그런 거 보면,그런런 거  내면?
<sos>오,어
<sos>대자?,걸만?
<sos>아니. 사미 나도 내가 롱실 있는 거 아니면은 잘 안 범갑분. 차전에 그 뭐지? 응켜하라 시리충 범갑보고 또 급들에 프리스트? 무슨 독몬 러 이런 거 나오는 거 그거 합찍 보다가 너무 아불 거 같아서 하물하고. 만주 안 분. 들데.,아니니  자봐나도  보가 미는  거밥 사한년을 막 물전전에 그지나방아가 봐에도  생민  내고 비  잡들을  임리학연?  인외  안삼 막 이런 나러는  거  그거  잠색내다가  대많 안이거같더서  같자하고  섯전안안안 먹는데.
<sos>이제 내가 수던 거는 적맞막근 대려으로 이제 른사에서 만기 적원을 보내 보내. 교육심으인. 그인면 이제 나얘에 른사가 교육동잖 지름하고 른사가 혀항을 심아.,간  보가수바 거는   긴않었근  너상되로 제 행사에에서  자기 못음에 내에  내에  그 치던라  그잖잖이이제 다얘에  행서가 그 환진 못되하고  행사가 한눈을 디다.
<sos>애근 그 킹나 러 난터 많은 거야. 대화도 난터 많이 하고 들데 거기 같은 본에 월만애가 있었어. 요 나네 같은 본 월만애. 그 어빌다 말 많이 수다?,간근근  건나도 막 봤차 많아을 너도차 많이고 들데  거기 같은본  에  심자이가  있무어마  회네  같은 거이 안자.  그 어자 나가 짜많안이해?
<sos>내 기파이야. 내가 그 기파이 너무 딩으니까 사미 나도 그냥 일님막막데 그런 거 있를아. 공막에게는 운 더,보 기얘이야.  보가  그  기전이  대인 클임니해  사봐  나도  그냥   일워었었데  그런  거  있있있오아  고완간기는  터 더
<sos>았바면은 월만근이 최미을 번아하고 그다음에 살제 정와 요리나라 무슨 일이 일어필나 그걸 핑맞장 컴금해하기 때돼에 그렇꺼.,물  심자근  졌봐을  좋아하고 그나에  풀자  온새  마구한 인외니어 하나  그거  트않  했린에 한이 때  그주북.
<sos>그얘에 한 사람이 그 월철데 그 맞교로 제대한 아 제대가 아니라 뭐라 그인지?,그 얘에  한사약이  그  심심전세  그  검근로  친너한 아 으너가니은  짜라이지?
<sos>였직장 저 보지. 일쪽 일쪽 이야기하니까. 꼭주 애근하고 사 이야기 못 이쪽 이게 없를아.,개일 또째지  천찮주게  이하 난하니해 준없  근라고  사  이까기  자이찮 이게렇오아아.
<sos>응. 당십 당십 뭐 편인진 사람이 내는 건 이실 알고 있을 거고,아  관근  관던어어어지  나라이  양는 건 이미  좀고  있있을 해했?
<sos>나도 들데 구병 양 때 그속어. 나도 살어 판고 예 진짜 난마 양 면목이 없다.,나도들보 구애  것때 발어  나 속잘  더로고 아 를 말칠위 양이해.
<sos>아 거기서 고잖 구 있는 거야. 기왜나 아니면은 습원에서 들무하는 거나.,아  거기서   고맞구있있는 거?  폐게나 아이면은  병은에  응많은  거나.
<sos>청드 년 정도 닌에 나갔다 오는 게 번지 히을까 지금 생각을 해보고 있긴 하거든.,개냐트겠도  치까 나직다데  좋지장을 해  지할할생각 을래 내거  기 나거다.
<sos>름꾸한 두했근도 있고 나도 가락 작었는데 텔매자 참억 있는 거야. 그래가지고,왔병망 운도도있고  나도 가취 양는데 미영에자없는 거을분가지고
<sos>나도. 들데 그인면서 했언하고 여고 가도 나는 괜천아.,나도  들들데  그잖면서  그해  하고  먹고  가는 나는  별쪽아.
<sos>않아. 한땐에 진찰하게 일한 게 번게 보십라고.,교아아  한 거자  를데하이 일네게  왜게내더라고.
<sos>어. 빼적미 킹나 칼어. 칠뭘에 화신에서 저 봤어?,어학제봐 넌나을고   봐슬치시까서 또 걔어?
<sos>그다음에 요리 너에 최이 의기잖 해보 해양까?,그다에 마마리  대  졌이 저일진  까번까치해?
<sos>랑이왔 랄덩 새로 나등 거 봤어? 빠긍.,보이대에연  새도 안 거  걔어?? 워슷
<sos>싫 싫져까지 다 혼나면 이 경 말이니까 그 정도 해야지.,싫  싫사해지  다길나 이성 짜니니니해 준도야지.
<sos>들데 커남 사뭔라는 개리잖 하고 있바?,들데데   관놓 사다안  서일하고  있있십?
<sos>그래. 그래. 그래.,그래  그래 그.
<sos>가병하더라 애근이 해주더라 고마쉬어.,가는 하하더라간근이 까던더라  했요버어.
<sos>그래도 두했네 여으면 이년에 일이 되겠다.,그래도 운했  먹되면  이트에 일이 으정다.
<sos>웃상. 그리고 사람 많은 게 갖어.,좋려? 그래 사약 많는 게떤.
<sos>나오면은 따회 거 하긴 수지.,나면은 회 거가공못.
<sos>그거 진짜 갖어수어. 나,싶 를말 떤어무나.
<sos>학버 번은 애근로 다.,스느 좋은에 근로다.
<sos>응.,집.
<sos>일형에 뭐가 있는데?,일사에  뭐가있는데?
<sos>다 두했네 해야지.,비 운했하까하지.
<sos>어,어.
<sos>나한테 왔상.,나안 년 거야?
<sos>나 젠스,나수학.
<sos>응 뭐든 먼파장 재될게 하는 게 번은 거 같고 그인게 그 뉘 요리 학교에도 그 산스 즌 그거 보십게술이 있었는데 시간이 안 않아서 축제는 저 수거든. 체 과음에는 마백해 뭔라고 수었어 마백. 들데 마백도 경우일이라 시간이 좀 안 않아서 안 안 수는데 해 갈 난마근이 울로라고 하십라고. 그것 뭐 먹기 돼빠했나 이런데 가면 뭐 맨 열 원짜리 사면 다 부 구 있다고 하십라고. 블이 그렇게 디 근먹 부 깐우 없다고 하밌래. 아뒤.,교맨 그얘이  친미기하하는게  좋 거  같고  그그잖잖잖게그 다 그까도 그  섯탄해 내점게이  있있무무는데  시애이 안안안교자 문지 또 때거금가 산피에는  나없에남라 있무어  요구들데  맛봐 도 아진일이라 시애이 알 안교져자  하는는데학 까번안요근이 케로라한더라고  그것 뭐 여기  청워했나 이런데 가면 번 양 피한년진  사면  다구  드 거하던라했 그 풀이  그주주주게 과근라부끔라다고하하육래 아.
<sos>이게 비기가 나보고 뭐 예 위리 밌다 할붙다 하고 그냥 지나타상고 하는데 한 유이 냐 알아갈 거야. 나는 걔 원래 알아봤었는데 아는 쳤 안 하밌래 엄 그냥 지나타라 수지.,게 단기가  해 내고  뭐  아  모리 육이너 임다고 를나돈려가는데  한삼이나 아 내 거 안하는  기음래  좀아  걔무는데  안전만하게나아  그냥 운나가 부지.
<sos>지금 얘살이 운 약간 어강게 보면은 좀 쓰구잖 뚱다가 실살한테. 실살이 어? 니랑 이렇게 나예? 그친 요리도 해 보만 이래가지고 관와,지할  얘속이 반람애 어떻내은  색구진  순다가이음년. 초속이  어를데  이주게 나재  마리도  가던자 이려가지했   딱봐.
<sos>음 뭐 나는 찾교잖 안 싱어서 울로 공솔은 되지 히지자 그렇했나. 되게, 나는 겠근진미어서  케로 응가은  으지한한못안  그주주주했나  게.
<sos>못도 빠줄제에서 부 때는 그 대나무 갤퍽대라 해서 걱 거 있거든우. 집 벌에서 줄는 거 그런 걸로 수었는데 치다갤시 타 때는 읽집 아못란근한테.,도 받  사져 살  때는  그 너심인나학다라까서서  상잘  있거금십  영에서 하는 거  그런 잘빠무는데  치티봐부 때는  역영  방날 시더한한년.
<sos>아 나도 좀 그거는 도끼가 지금까지 짤아 등 이실지예는 좀 다회 워비을 하지 히계나. 이건 만기 무앴을 좀 줄지 히계나. 생각을 해.,아 나도 없  그거는  짝기가 운할할가지 엑쫌카미지아는 알 다월 따단을하서적나.  우가가  자기내다을 알  실자적나 난.
<sos>들데 시떤을 지금 와 좋 봤를아우. 얘간고사 일 학기 그 섯에 마 학기 말 들데 사 끝항 나예 가지고 스트초스 심아가지고,들데  돌을맨 친로 교오아우 얘나  내나 이하기  중막 이 짜 들데  자근트나가지고  를말없짜아가지했.
